ticket_id,text,intent,kb_article_id,channel,priority,country,product
SAMPLE-001,"my card was charged twice for the same purchase",billing,KB-BILL-01,chat,medium,IN,credit_card
SAMPLE-002,"why was I charged an extra service fee Amount ₹1,299.",billing,KB-BILL-02,email,low,GB,credit_card
SAMPLE-003,"my refund is still missing",refund,KB-REF-01,app,medium,SG,shopping
SAMPLE-004,"the refund amount is lower than expected Amount $49.99.",refund,KB-REF-02,email,medium,US,shopping
SAMPLE-005,"I forgot my password and cannot sign in",access,KB-ACC-01,chat,high,IN,account_portal
SAMPLE-006,"the OTP code never arrives Email user42@example.com.",access,KB-ACC-02,app,medium,GB,mobile_app
SAMPLE-007,"the mobile app crashes whenever I open it",technical,KB-TECH-01,app,high,US,mobile_app
SAMPLE-008,"file upload fails with a network error",technical,KB-TECH-02,email,medium,SG,account_portal
SAMPLE-009,"please change the email on my profile",account,KB-ACCT-01,chat,low,IN,account_portal
SAMPLE-010,"I want to close my account permanently",account,KB-ACCT-02,email,medium,GB,account_portal
SAMPLE-011,"my package has not arrived yet Order ORD-45678.",delivery,KB-DEL-01,app,high,US,shopping
SAMPLE-012,"the item arrived damaged Order ORD-90123.",delivery,KB-DEL-02,chat,medium,SG,shopping
