text,label
"The battery life is excellent and the camera is sharp.",positive
"Amazing screen and smooth performance.",positive
"I love the build quality and fast charging.",positive
"The phone feels premium and works perfectly.",positive
"Great value for money and very reliable.",positive
"The battery drains quickly and the device overheats.",negative
"Terrible camera quality in low light.",negative
"The app crashes often and performance is slow.",negative
"I regret buying this disappointing device.",negative
"Poor build quality and unreliable battery.",negative
"The device has a six inch screen.",neutral
"The phone is available in black and silver.",neutral
"The package contains a charger and cable.",neutral
"The model includes 128 GB of storage.",neutral
"The software version is Android 16.",neutral
